     0.000   -44.939874362   -44.826154309   -44.801049007   -44.760277468   -44.755351589   -44.734663189   -44.720595547   -44.687915107   -44.667421110   -44.666131209   -44.760277468   -44.735534371
     0.100   -44.938533672   -44.824834199   -44.799789166   -44.758898559   -44.753968270   -44.733334994   -44.719293444   -44.686717372   -44.666233298   -44.664944499   -44.758898559   -44.735534502
     0.200   -44.937405358   -44.823724995   -44.798714139   -44.757744153   -44.752799164   -44.732205945   -44.718192325   -44.685769497   -44.665240589   -44.663965387   -44.757744153   -44.735535309
     0.300   -44.936499181   -44.822836825   -44.797834054   -44.756823277   -44.751854033   -44.731285436   -44.717302685   -44.685078304   -44.664446865   -44.663206575   -44.756823277   -44.735536217
     0.400   -44.935819705   -44.822173519   -44.797153108   -44.756140494   -44.751138175   -44.730578030   -44.716628721   -44.684645416   -44.663854853   -44.662674464   -44.756140494   -44.735537404
     0.500   -44.935366378   -44.821734524   -44.796671116   -44.755695251   -44.750651038   -44.730083911   -44.716169881   -44.684467341   -44.663463631   -44.662368869   -44.755695251   -44.735539022
     0.600   -44.935133794   -44.821514068   -44.796382306   -44.755481777   -44.750387218   -44.729797674   -44.715921128   -44.684535735   -44.663270002   -44.662284018   -44.755481777   -44.735540804
     0.700   -44.935112143   -44.821501971   -44.796277234   -44.755490260   -44.750337270   -44.729709506   -44.715872650   -44.684838580   -44.663269666   -44.662407159   -44.755490260   -44.735542802
     0.800   -44.935287776   -44.821684586   -44.796342619   -44.755707420   -44.750487913   -44.729807230   -44.716011166   -44.685358554   -44.663457058   -44.662718397   -44.755707420   -44.735545383
     0.900   -44.935643873   -44.822045093   -44.796562008   -44.756116068   -44.750822328   -44.730074026   -44.716319856   -44.686076999   -44.663829692   -44.663190254   -44.756116068   -44.735548134
     1.000   -44.936161161   -44.822563484   -44.796916130   -44.756696933   -44.751321610   -44.730490989   -44.716779816   -44.686972071   -44.664388508   -44.663785084   -44.756696933   -44.735550972
     1.100   -44.936818660   -44.823219146   -44.797385105   -44.757429033   -44.751964409   -44.731038608   -44.717370799   -44.688020583   -44.665129060   -44.664467940   -44.757429033   -44.735553778
     1.200   -44.937594404   -44.823990112   -44.797947335   -44.758290771   -44.752729863   -44.731694917   -44.718070472   -44.689199099   -44.666026812   -44.665221267   -44.758290771   -44.735556772
     1.300   -44.938466130   -44.824853753   -44.798581293   -44.759259515   -44.753594974   -44.732439122   -44.718857674   -44.690483520   -44.667045168   -44.666037501   -44.759259515   -44.735559417
     1.400   -44.939411897   -44.825788863   -44.799265772   -44.760314060   -44.754538903   -44.733249652   -44.719710098   -44.691850434   -44.668151897   -44.666907197   -44.760314060   -44.735562258
