     0.000  -179.846853233  -179.760070069  -179.754236113  -179.752797377  -179.746838107  -179.745868292  -179.743407557  -179.740012287  -179.739734095  -179.737818720  -179.737397573  -179.733940931  -179.731391998  -179.727071747  -179.724208975  -179.724152381  -179.723064968  -179.719230911  -179.716109423  -179.713516391  -179.706621483  -179.706285594  -179.705044201  -179.704716765  -179.701207939  -179.700291411  -179.698937934  -179.697938352  -179.697077315  -179.696898346  -179.696037309  -179.694216748  -179.693147710  -179.690929888  -179.690717844  -179.690295227  -179.690198209  -179.689141666  -179.688209336  -179.688000599  -179.687815383  -179.686127854  -179.685952559  -179.685569264  -179.684088266  -179.683301831  -179.682991299  -179.682247860  -179.681884409  -179.681400053  -179.680658819  -179.680558861  -179.679440946  -179.677486250  -179.676660860  -179.676359148  -179.675762339  -179.674609880  -179.673986244  -179.673171879  -179.671988183  -179.671418201  -179.670784275  -179.670161007  -179.669225002  -179.667942450  -179.666986233  -179.666844748  -179.664962080  -179.662907057  -179.662607918  -179.662099307  -179.659254175  -179.658160515  -179.657824993  -179.656655262  -179.656149959  -179.654893500  -179.653796165  -179.653342678  -179.652602179  -179.671418201  -179.535210102
     0.100  -179.847729279  -179.760798383  -179.755112895  -179.753524956  -179.747672259  -179.746798727  -179.744267434  -179.740880616  -179.740681802  -179.738829636  -179.737660272  -179.734840864  -179.731785893  -179.728166819  -179.725196739  -179.724674898  -179.724189807  -179.719647591  -179.717246022  -179.714407137  -179.707900669  -179.707154290  -179.705844177  -179.705525192  -179.701952423  -179.700990693  -179.699741216  -179.698869522  -179.697971369  -179.697919552  -179.696776280  -179.694966009  -179.694039558  -179.691636887  -179.691281889  -179.691099980  -179.691069845  -179.690074306  -179.689276111  -179.688822624  -179.688639245  -179.686866090  -179.686757312  -179.686539388  -179.684891549  -179.684068731  -179.683803401  -179.682754575  -179.682720031  -179.682287124  -179.681597707  -179.681356631  -179.680309275  -179.678335101  -179.677408283  -179.677223802  -179.676699022  -179.675044199  -179.674800919  -179.673979939  -179.672858350  -179.672283958  -179.671632392  -179.670941505  -179.669994107  -179.668914412  -179.667982817  -179.667761586  -179.665833348  -179.663797436  -179.663434720  -179.662988216  -179.660423113  -179.659026638  -179.658979599  -179.657277738  -179.656870188  -179.655812542  -179.654673681  -179.654224604  -179.653695781  -179.672283958  -179.535210922
     0.200  -179.848459062  -179.761383373  -179.755845984  -179.754113621  -179.748365292  -179.747587676  -179.744988764  -179.741613706  -179.741483245  -179.739699801  -179.737786631  -179.735600046  -179.732041241  -179.729124080  -179.726094098  -179.725170220  -179.724990883  -179.719927561  -179.718221290  -179.715148679  -179.709019994  -179.707878927  -179.706586086  -179.706094380  -179.702549540  -179.701531951  -179.700395295  -179.699654796  -179.698797802  -179.698716218  -179.697378910  -179.695594363  -179.694757581  -179.692282881  -179.691901056  -179.691831967  -179.691456389  -179.690864725  -179.690202869  -179.689485890  -179.689304348  -179.687598077  -179.687398528  -179.687257043  -179.685548567  -179.684724280  -179.684429183  -179.683488400  -179.683051818  -179.683010659  -179.682488083  -179.681910751  -179.681025093  -179.679037322  -179.678046192  -179.677905443  -179.677490175  -179.675478150  -179.675329315  -179.674642102  -179.673592909  -179.673012270  -179.672333877  -179.671572064  -179.670620991  -179.669737905  -179.668834607  -179.668507905  -179.666560191  -179.664548533  -179.664130693  -179.663713221  -179.661432925  -179.659987941  -179.659721509  -179.658164072  -179.657019331  -179.656572459  -179.655409710  -179.654966881  -179.654621437  -179.673012270  -179.535211464
     0.300  -179.849034538  -179.761816629  -179.756426238  -179.754556065  -179.748908428  -179.748226361  -179.745563872  -179.742221889  -179.742112376  -179.740420437  -179.737771545  -179.736208964  -179.732152206  -179.729934752  -179.726842296  -179.725947082  -179.725195926  -179.720064250  -179.719027184  -179.715732607  -179.709969946  -179.708451096  -179.707200884  -179.706478392  -179.702991616  -179.701907511  -179.700892495  -179.700286866  -179.699522112  -179.699305659  -179.697837156  -179.696104425  -179.695281240  -179.692808011  -179.692448970  -179.692408178  -179.691607043  -179.691492752  -179.690976424  -179.689987867  -179.689804856  -179.688216917  -179.688040888  -179.687643628  -179.686049442  -179.685246837  -179.684874566  -179.684076738  -179.683572170  -179.683246204  -179.683209454  -179.682314976  -179.681575579  -179.679583766  -179.678581979  -179.678388310  -179.678120040  -179.675990417  -179.675486216  -179.675145182  -179.674183085  -179.673591053  -179.672881424  -179.672046479  -179.671102022  -179.670398639  -179.669516656  -179.669092936  -179.667134932  -179.665151938  -179.664691469  -179.664262972  -179.662274466  -179.660807801  -179.660271260  -179.658888383  -179.657196812  -179.656978153  -179.655996211  -179.655569919  -179.655361550  -179.675990417  -179.535211294
     0.400  -179.849453139  -179.762093745  -179.756849249  -179.754848983  -179.749298732  -179.748715153  -179.745988721  -179.742719133  -179.742551556  -179.740988975  -179.737609140  -179.736664682  -179.732113645  -179.730601411  -179.727435824  -179.726558985  -179.725249974  -179.720052517  -179.719660769  -179.716155986  -179.710748690  -179.708869330  -179.707663584  -179.706694505  -179.703276082  -179.702115171  -179.701229512  -179.700763531  -179.700092121  -179.699734917  -179.698146611  -179.696497669  -179.695603926  -179.693206032  -179.692877126  -179.692795542  -179.691980810  -179.691609641  -179.691560030  -179.690325620  -179.690140036  -179.688727024  -179.688504323  -179.687869663  -179.686389400  -179.685616561  -179.685148743  -179.684515919  -179.683963577  -179.683811067  -179.683258357  -179.682576657  -179.681951551  -179.679969293  -179.678976693  -179.678742968  -179.678548564  -179.676353526  -179.675581791  -179.675403189  -179.674624838  -179.674014064  -179.673271728  -179.672360712  -179.671442714  -179.670885594  -179.670024558  -179.669516314  -179.667552431  -179.665603981  -179.665113010  -179.664636004  -179.662944065  -179.661450205  -179.660660462  -179.659435240  -179.657621660  -179.656818688  -179.656426940  -179.656058344  -179.655887460  -179.676353526  -179.535211056
     0.500  -179.849710098  -179.762209587  -179.757108413  -179.754987610  -179.749531805  -179.749051491  -179.746258175  -179.743084503  -179.742812191  -179.741398077  -179.737302732  -179.736960963  -179.731927775  -179.731120025  -179.727864770  -179.726990504  -179.725166267  -179.720115072  -179.719892739  -179.716412945  -179.711346316  -179.709127759  -179.707963540  -179.706744933  -179.703400377  -179.702152737  -179.701401948  -179.701078187  -179.700500487  -179.699999227  -179.698302143  -179.696763081  -179.695728955  -179.693469239  -179.693155767  -179.693019060  -179.692281501  -179.692053287  -179.691402457  -179.690495116  -179.690307695  -179.689114076  -179.688785170  -179.687945815  -179.686561468  -179.685821337  -179.685255030  -179.684800441  -179.684234501  -179.684184522  -179.683141576  -179.682709771  -179.682135380  -179.680186563  -179.679210133  -179.679036676  -179.678716590  -179.676565284  -179.675746509  -179.675289715  -179.674908992  -179.674272861  -179.673498553  -179.672509996  -179.671657044  -179.671175628  -179.670350238  -179.669774009  -179.667805715  -179.665899160  -179.665384670  -179.664830490  -179.663432913  -179.661907448  -179.660885450  -179.659795465  -179.657888175  -179.656720281  -179.656503828  -179.656397622  -179.656193663  -179.676565284  -179.535210288
     0.600  -179.849814891  -179.762173997  -179.757213206  -179.754982154  -179.749617120  -179.749243012  -179.746380975  -179.743316448  -179.742915881  -179.741656481  -179.737106915  -179.736863267  -179.731604438  -179.731500438  -179.728137507  -179.727251113  -179.724957588  -179.720397364  -179.719597699  -179.716512960  -179.711771930  -179.709236594  -179.708108390  -179.706640989  -179.703373974  -179.702031521  -179.701424422  -179.701235531  -179.700756320  -179.700108062  -179.698313592  -179.696898743  -179.695676828  -179.693601593  -179.693286652  -179.693108050  -179.692420838  -179.692342194  -179.691094554  -179.690505095  -179.690317306  -179.689372849  -179.688906500  -179.687883766  -179.686573652  -179.685868433  -179.685210252  -179.684933530  -179.684503195  -179.684249625  -179.682900925  -179.682726366  -179.682122574  -179.680243949  -179.679300593  -179.679212028  -179.678691290  -179.676635165  -179.675800220  -179.675042449  -179.675012682  -179.674372509  -179.673571006  -179.672504908  -179.671769187  -179.671263883  -179.670503172  -179.669875494  -179.667904260  -179.666049522  -179.665510409  -179.664861049  -179.663749014  -179.662187903  -179.660956433  -179.659978166  -179.657996275  -179.656841243  -179.656652352  -179.656335205  -179.655996744  -179.676635165  -179.535208869
     0.700  -179.849783305  -179.762002396  -179.757177577  -179.754848405  -179.749571937  -179.749304402  -179.746372908  -179.743427450  -179.742880987  -179.741778875  -179.737118326  -179.736308738  -179.731758436  -179.731161260  -179.728269455  -179.727356602  -179.724641195  -179.720523800  -179.719183920  -179.716471820  -179.712040586  -179.709211623  -179.708113185  -179.706399564  -179.703213030  -179.701770252  -179.701345797  -179.701219012  -179.700873936  -179.700077210  -179.698196380  -179.696911256  -179.695472520  -179.693616679  -179.693284833  -179.693088224  -179.692540659  -179.692345152  -179.690673058  -179.690369141  -179.690182087  -179.689512514  -179.688889981  -179.687700773  -179.686440638  -179.685772903  -179.685058864  -179.684905619  -179.684630734  -179.684171735  -179.682716094  -179.682477959  -179.681933334  -179.680157606  -179.679332216  -179.679185954  -179.678519689  -179.676579692  -179.675734457  -179.675032178  -179.674646677  -179.674304909  -179.673504508  -179.672361237  -179.671787212  -179.671173866  -179.670497678  -179.669837293  -179.667863119  -179.666072325  -179.665500505  -179.664746777  -179.663906687  -179.662306989  -179.660889567  -179.659998396  -179.657961749  -179.656843099  -179.656706024  -179.656336326  -179.655400321  -179.676579692  -179.535207246
     0.800  -179.849637393  -179.761716469  -179.757023213  -179.754607680  -179.749424555  -179.749249996  -179.746256396  -179.743438457  -179.742731400  -179.741786575  -179.737017615  -179.735662668  -179.731915339  -179.730621395  -179.728283036  -179.727327186  -179.724240977  -179.720516066  -179.718675292  -179.716311943  -179.712173969  -179.709074163  -179.707999613  -179.706043814  -179.702939598  -179.701395024  -179.701234797  -179.701012464  -179.700863262  -179.699928359  -179.697971825  -179.696816793  -179.695144699  -179.693534711  -179.693171628  -179.692980164  -179.692591723  -179.692155141  -179.690194932  -179.690096444  -179.689906450  -179.689552554  -179.688760239  -179.687419256  -179.686183376  -179.685558270  -179.684896047  -179.684718915  -179.684584413  -179.683974007  -179.682568712  -179.682015635  -179.681603675  -179.679948485  -179.679300595  -179.678999250  -179.678229719  -179.676421285  -179.675573846  -179.674897291  -179.674330616  -179.673979660  -179.673318907  -179.672101769  -179.671714064  -179.670947106  -179.670354339  -179.669682194  -179.667703610  -179.665991459  -179.665374438  -179.664512299  -179.663926515  -179.662286392  -179.660706906  -179.659878209  -179.657806649  -179.656746431  -179.656614134  -179.656227898  -179.654699126  -179.676421285  -179.535205497
     0.900  -179.849405105  -179.761344166  -179.756777695  -179.754287561  -179.749229384  -179.749080549  -179.746058284  -179.743377421  -179.742495070  -179.741706062  -179.736832734  -179.734954108  -179.731999462  -179.730013529  -179.728208035  -179.727189711  -179.723786356  -179.720401375  -179.718101970  -179.716060913  -179.712199293  -179.708852165  -179.707795989  -179.705602055  -179.702581628  -179.701067923  -179.700945915  -179.700817660  -179.700619214  -179.699689823  -179.697667875  -179.696639262  -179.694726459  -179.693382536  -179.692976089  -179.692801897  -179.692557147  -179.691851927  -179.689788820  -179.689691802  -179.689536352  -179.689425737  -179.688545958  -179.687066062  -179.685831285  -179.685255791  -179.684698671  -179.684603858  -179.684233792  -179.683684757  -179.682365456  -179.681480165  -179.681173308  -179.679644904  -179.679197297  -179.678714043  -179.677851904  -179.676187527  -179.675349642  -179.674660225  -179.674075911  -179.673449335  -179.673039580  -179.671754823  -179.671562257  -179.670625149  -179.670101471  -179.669438146  -179.667453682  -179.665834875  -179.665158319  -179.664189240  -179.663833139  -179.662154062  -179.660437134  -179.659645553  -179.657558559  -179.656567062  -179.656414185  -179.656037872  -179.654044956  -179.684698671  -179.535203000
     1.000  -179.849093395  -179.760887664  -179.756445773  -179.753893532  -179.749015059  -179.748783171  -179.745786631  -179.743255705  -179.742180787  -179.741547229  -179.736572840  -179.734176417  -179.732026949  -179.729332488  -179.728057654  -179.726952602  -179.723277669  -179.720191828  -179.717460986  -179.715724213  -179.712132334  -179.708553685  -179.707510004  -179.705074993  -179.702141295  -179.700834489  -179.700662869  -179.700415914  -179.700158301  -179.699368558  -179.697288914  -179.696384880  -179.694226593  -179.693166007  -179.692709580  -179.692554866  -179.692441310  -179.691450181  -179.689439993  -179.689345547  -179.689249264  -179.688796512  -179.688254460  -179.686643002  -179.685389850  -179.684881239  -179.684460459  -179.684405703  -179.683751932  -179.683308001  -179.682101888  -179.680877400  -179.680650289  -179.679251977  -179.679025602  -179.678341329  -179.677389522  -179.675884269  -179.675069904  -179.674326465  -179.673780003  -179.672840323  -179.672655841  -179.671351240  -179.671306406  -179.670218258  -179.669745662  -179.669112471  -179.667118453  -179.665611730  -179.664859104  -179.663799989  -179.663621387  -179.661922833  -179.660084999  -179.659309589  -179.657224064  -179.656300186  -179.656126729  -179.655775038  -179.653740963  -179.684460459  -179.535192943
     1.100  -179.848732113  -179.760378650  -179.756054357  -179.753453975  -179.748772846  -179.748412335  -179.745474226  -179.743089930  -179.741821711  -179.741335517  -179.736265948  -179.733372673  -179.732017358  -179.728618413  -179.727863215  -179.726641299  -179.722745136  -179.719912498  -179.716793950  -179.715332062  -179.712001103  -179.708206368  -179.707166362  -179.704500198  -179.701651758  -179.700564346  -179.700442338  -179.699891833  -179.699594531  -179.698999927  -179.696865894  -179.696077620  -179.693690752  -179.692898069  -179.692419960  -179.692301260  -179.692210489  -179.690987471  -179.689306190  -179.688857848  -179.688766342  -179.688105957  -179.687917800  -179.686181027  -179.684896638  -179.684508933  -179.684207588  -179.684073821  -179.683212784  -179.682872853  -179.681797568  -179.680244909  -179.680074024  -179.678841084  -179.678762073  -179.677912429  -179.676877200  -179.675534013  -179.674763379  -179.673928067  -179.673452531  -179.672309627  -179.672107138  -179.671056107  -179.670834509  -179.669761429  -179.669319334  -179.668736490  -179.666728507  -179.665344895  -179.664508113  -179.663451569  -179.663243201  -179.661619248  -179.659683294  -179.658901268  -179.656834486  -179.655969774  -179.655788968  -179.655463736  -179.653375272  -179.684207588  -179.535203065
     1.200  -179.848361773  -179.759857638  -179.755643960  -179.753009768  -179.748526718  -179.748023988  -179.745159378  -179.742920241  -179.741466070  -179.741104090  -179.735954774  -179.732584861  -179.732008264  -179.727911449  -179.727667434  -179.726295581  -179.722230004  -179.719604632  -179.716144315  -179.714925708  -179.711845012  -179.707851095  -179.706806679  -179.703918550  -179.701154265  -179.700317851  -179.700187023  -179.699383683  -179.698988995  -179.698623707  -179.696438592  -179.695756157  -179.693188849  -179.692589468  -179.692202130  -179.692036758  -179.691889393  -179.690508721  -179.689169575  -179.688366603  -179.688261132  -179.687578697  -179.687420675  -179.685716609  -179.684410905  -179.684230099  -179.683866280  -179.683689516  -179.682662372  -179.682418724  -179.681488599  -179.679626511  -179.679494948  -179.678577317  -179.678311987  -179.677470795  -179.676356556  -179.675176902  -179.674465803  -179.673512158  -179.673131435  -179.671855866  -179.671481023  -179.670749344  -179.670341426  -179.669299215  -179.668866308  -179.668351818  -179.666323255  -179.665072675  -179.664148062  -179.663151420  -179.662772167  -179.661284555  -179.659273264  -179.658461104  -179.656431071  -179.655614501  -179.655443617  -179.655144477  -179.652982882  -179.696438592  -179.535195053
     1.300  -179.847989097  -179.759329879  -179.755222775  -179.752568003  -179.748288912  -179.747631099  -179.744851748  -179.742763651  -179.741135656  -179.740851216  -179.735650084  -179.732029173  -179.731797652  -179.727486956  -179.727206192  -179.725921435  -179.721736789  -179.719277157  -179.715509616  -179.714510770  -179.711674824  -179.707496058  -179.706441353  -179.703331257  -179.700652599  -179.700105034  -179.699908058  -179.698880914  -179.698357236  -179.698242946  -179.696014834  -179.695430520  -179.692783833  -179.692198049  -179.692035617  -179.691734640  -179.691544646  -179.690019549  -179.689048999  -179.687880003  -179.687730801  -179.687242035  -179.686741142  -179.685253162  -179.684086738  -179.683879104  -179.683467144  -179.683254733  -179.682106317  -179.681948295  -179.681183909  -179.679034441  -179.678928603  -179.678300557  -179.677826123  -179.677019475  -179.675833575  -179.674821866  -179.674182427  -179.673089135  -179.672824540  -179.671402341  -179.670857348  -179.670424441  -179.669840862  -179.668833931  -179.668393306  -179.667961502  -179.665909787  -179.664805837  -179.663784573  -179.662846730  -179.662277483  -179.660925476  -179.658858326  -179.657991042  -179.656019441  -179.655238885  -179.655099238  -179.654827293  -179.652569047  -179.696014834  -179.535192266
