     0.000  -264.236341889  -264.094364178  -264.058712555  -264.036893378  -264.030630925  -263.992545027  -263.989719371  -263.967451117  -263.952229914  -263.945592986  -264.036893378  -263.995012494
     0.500  -264.236304220  -264.096416076  -264.059788758  -264.038107759  -264.031840529  -263.993357370  -263.991504469  -263.967097037  -263.952600898  -263.946965757  -264.038107759  -263.995080465
     1.000  -264.234663888  -264.096882583  -264.059315585  -264.037921597  -264.031380217  -263.993037441  -263.991367919  -263.966317374  -263.952216291  -263.946815610  -264.037921597  -263.995105803
     1.500  -264.231078692  -264.095324479  -264.056921434  -264.035948962  -264.028887211  -263.991379012  -263.988770545  -263.964539878  -263.950578441  -263.944866126  -264.035948962  -263.995069398
     2.000  -264.226145031  -264.092251069  -264.053163384  -264.032740682  -264.024950927  -263.988570198  -263.984669257  -263.961991615  -263.947997840  -263.941800434  -264.032740682  -263.994989383
     2.500  -264.221118497  -264.088848488  -264.049260644  -264.029511190  -264.020826221  -263.985676962  -263.980471420  -263.959547456  -263.945482020  -263.938880738  -264.029511190  -263.994911181
     3.000  -264.217213083  -264.086282587  -264.046402587  -264.027442140  -264.017731498  -263.983848987  -263.977435495  -263.958108657  -263.944061228  -263.937265175  -264.027442140  -263.994879672
     3.500  -264.214926607  -264.085027296  -264.045086659  -264.027010401  -264.016175230  -263.983559469  -263.976087963  -263.957957684  -263.944094001  -263.937364832  -264.027010401  -263.994905699
     4.000  -264.213889385  -264.084715139  -264.044969273  -264.027832696  -264.015803171  -263.984430640  -263.976092218  -263.958602111  -263.945112169  -263.938715949  -264.027832696  -263.994957492
     4.500  -264.213308596  -264.084577179  -264.045305012  -264.029108114  -264.015844548  -263.985672984  -263.976691817  -263.959206120  -263.946271460  -263.940434197  -264.029108114  -263.994995939
     5.000  -264.212552068  -264.084023875  -264.045519769  -264.030198608  -264.015692547  -263.986659845  -263.977286194  -263.959159222  -263.946930149  -263.941804721  -264.030198608  -263.995003872
     5.500  -264.211414837  -264.082904284  -264.045461866  -264.030894433  -264.015168295  -263.987194341  -263.977687658  -263.958342813  -263.946891355  -263.942552363  -264.030894433  -263.994990534
     6.000  -264.210019120  -264.081399053  -264.045293209  -264.031311560  -264.014418630  -263.987402731  -263.978014014  -263.957029781  -263.946268109  -263.942740909  -264.031311560  -263.994974300
     6.500  -264.208562745  -264.079763342  -264.045230735  -264.031643040  -264.013661228  -263.987486520  -263.978436999  -263.955615301  -263.945218549  -263.942526293  -264.031643040  -263.994967974
     7.000  -264.207125161  -264.078130619  -264.045348751  -264.031963177  -264.012989132  -263.987528465  -263.978989759  -263.954351541  -263.943803750  -263.941976573  -264.031963177  -263.994975043
     7.500  -264.205607109  -264.076449400  -264.045517125  -264.032168668  -264.012309700  -263.987434449  -263.979510927  -263.953191060  -263.942015223  -263.941031811  -264.032168668  -263.994990516
     8.000  -264.203807539  -264.074562366  -264.045477113  -264.032054422  -264.011422248  -263.987009671  -263.979727425  -263.951860411  -263.939911001  -263.939556002  -264.032054422  -263.995001477
     8.500  -264.201603724  -264.072385011  -264.045025139  -264.031492935  -264.010198905  -263.986132875  -263.979441558  -263.950120006  -263.938221677  -263.937007479  -264.072385011  -263.994996041
     9.000  -264.197054357  -264.068290968  -264.042942386  -264.029223128  -264.007237109  -263.983472423  -263.977450311  -263.946135843  -263.935595769  -263.931844765  -264.068290968  -263.994947582
     9.500  -264.191066572  -264.063401253  -264.039222770  -264.025351002  -264.003024317  -263.979291235  -263.973700192  -263.940534661  -263.932352424  -263.925734973  -264.063401253  -263.994846550
    10.000  -264.185230306  -264.059298453  -264.035284973  -264.021443707  -263.999072923  -263.975116038  -263.969652883  -263.934856417  -263.929556062  -263.920501028  -264.059298453  -263.994756282
    10.500  -264.181003442  -264.057377242  -264.032491701  -264.018935243  -263.996753717  -263.972416109  -263.966607143  -263.930613016  -263.928296706  -263.917644179  -264.057377242  -263.994753649
    11.000  -264.178607961  -264.057746412  -264.031060154  -264.018031783  -263.996210769  -263.971455321  -263.964663310  -263.929207194  -263.927487693  -263.917226914  -264.057746412  -263.994848284
    11.500  -264.176849033  -264.059080674  -264.029857243  -264.017537400  -263.996194494  -263.971037376  -263.962626190  -263.929936195  -263.925442855  -263.917863674  -264.059080674  -263.994968483
    12.000  -264.174069445  -264.059610731  -264.027321671  -264.015807005  -263.995024159  -263.969465738  -263.958939996  -263.929502684  -263.922243590  -263.917785162  -264.059610731  -263.995038728
    12.500  -264.169251886  -264.058233277  -264.022545272  -264.011845338  -263.991681718  -263.965690390  -263.952730741  -263.926792332  -263.917186793  -263.915910857  -264.058233277  -263.995036540
    13.000  -264.162419763  -264.054904099  -264.015661700  -264.005695650  -263.986203441  -263.959725552  -263.944175442  -263.921851329  -263.912706627  -263.910089708  -264.054904099  -263.994981660
    13.500  -264.154375728  -264.050363010  -264.007573933  -263.998173823  -263.979409618  -263.952380856  -263.934227792  -263.915522018  -263.908594770  -263.902299611  -264.050363010  -263.994915586
    14.000  -264.146109470  -264.045535018  -263.999345526  -263.990269913  -263.972311620  -263.944661428  -263.924024844  -263.908844065  -263.904663462  -263.894568422  -264.045535018  -263.994876747
    14.500  -264.138242151  -264.040974772  -263.991634760  -263.982601408  -263.965553764  -263.937205702  -263.914335126  -263.902617237  -263.900915008  -263.887435355  -264.040974772  -263.994873774
    15.000  -264.130880703  -264.036723419  -263.984541215  -263.975272667  -263.959267601  -263.930138248  -263.905440129  -263.897974504  -263.895805559  -263.880824696  -264.036723419  -263.994882484
    15.500  -264.123945890  -264.032637414  -263.977941188  -263.968206659  -263.953393373  -263.923395634  -263.897582908  -263.893411124  -263.889949338  -263.875335601  -264.032637414  -263.994874456
    16.000  -264.117588542  -264.028802172  -263.971920831  -263.961553479  -263.948087056  -263.917139347  -263.891264882  -263.887677413  -263.884269648  -263.870824172  -264.028802172  -263.994841792
